1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72
AFFX-r2-TagIN-3_at	HXK1	DED1	YAP1	SNX41	MRPL13	RAV2	POS5	AKR1	HMRA1	YLR466C-B		YOR268C	SEC15	LAS1	PAU5	SEC23	THI7	ATP17	PUN1	NTC20	YJL147C	GIN4	REX2	APM1	ADE6	EMC2	RPS11A	OM14	ADH7	YDL211C	SDH1	YKL071W	ARP1	YBL101W-B		NVJ1		DSE2	HSP82	SCW10	ERG2	YPL066W	NDD1	AIM10	RRP4	TOS6		YPR045C	SST2	LYS9	VTC2	SSF2	FMP37	MET22	RPS24A	MRPL9	YGR109W-B	REX4	AFFX-r2-Bs-phe-3_at	IDP2	YLR456W	STE50	BAP3	PDR18	SPP2	AFFX-25srRnac_at	SLZ1	SPP381	SPO14	HOF1	YOR059C
RPTR-Sc-J01636-1_at	GSP2	DHH1	GLO2		MRPL7	FAD1	MCH4	ENB1	BAR1	YER188C-A		YIR021W-A	YPR089W	CWC24	YPL272C	JIP5	AQY2	COX8	ASK10	PRP21	BUD6	MSH6		CDC55	ADE8	AFFX-YER148wM_at	RPS15	UBC5	FDC1	ISW1	HFD1	AIM46	SED5	YER138W-A		MDM34		SIC1	GAD1	SIM1	ERG1	GAL80	SRS2	LIP2	RRP40	RNR1		SPC1	AXL1	LYS4	VIP1	ELP2	OST4	SER33	RPL24A	SWS2	YPL279C	RRP36	AFFX-r2-Bs-lys-3_at	YDR018C	BIR1	AIM34	CHA1	IMA1	COG6	AFFX-25srRnab_at	ADY4	AAR2	AEP1	MMR1	PPH21
RPTR-Sc-M10961-1_at	PRX1	RXT3	NYV1		MRPL10	VPS60		YDR476C		YOR394C-A		YLL006W-A	UBP14	JNM1	PAU24	BET2	YLL053C	QCR9	FLC2	AIM4	MED1	POL30		HMI1	YAL044C	RAD6	RPL3	COQ4	KRS1	YCS4	SDH2	AAD4	CSM3	RPTR-Sc-J01347-1_at		BBC1		AIM44	RTC3	WSC2	MVD1	GOR1	BUD17	GUF1	YNL022C	CLB6		EDC1	STE5	CTP1	PHO84	GCD10	OST5	SUL2	RPL17A	MRPS18	YGR109W-A		AFFX-r2-Bs-dap-5_at	YFR017C	MBP1	GYP5		MAL12	SEC10	AFFX-18srRnae_at	PRP38	PTH1	TUS1	CDC20	PTC3
AFFX-r2-TagIN-5_at	ATG8	YDL133W	PHB1		MRPS9	PEP8		FTR1		YLR157W-C		YJL052C-A	SLX5	KRE28	PAU7	SGV1	BIO2	TIM11	DFG5	ELC1	TRS130	PDS5		YGR071C	ADE2	CTK2	ASC1	RIM11	COS8	CDC45	CIT1	OYE3	ECO1	YRF1-1		YME2		PIR1	HSP42	SEC61	MSC7	PCL10	TAD3	TCM62	DAT1	PCL1		NUF2	STE4	LYS12	PHM6	NOG1	DRS2	BNA3	RPL21B	IMG2			AFFX-r2-Bs-dap-3_at	ACS1	YKR023W			MAL31	PEP3	PAN2	MEK1	SPT10	GIP4	AIM20	ARA1
AFFX-r2-TagO-3_at	YHR138C	HPF1	PHB2		RSM24	OCA6		FIT2		RRT15		YDR194W-A	EPS1	BDP1	PAU1	TIF3	BIO5	ATP7	CDC1	YSF3	OSH3	MYO2		PEP5	MTD1	YOR283W	RPS14B	TPK2	ENA5	FKH1	KGD2	ECM4	MTW1	PFA5		YLR001C		DSE4	SSE2	AXL2	ERG24	STL1	MLP2	BCS1	RRP46			PUF3	TEC1	ACO2	PHO5	NSR1	LAA1	MET32	RPS19A	MRPL27			AFFX-ThrX-5_at	ICL1	VPS16			MAL11	ISW2		PCH2	ATG15	GYP1	CLB1	HYR1
AFFX-r2-TagO-5_at	VID30	YIL169C	RPN5		MRPL1	NBP2		GTO3		YCL073C		YJL027C	SBE22	SPT2	PAU15	PRP4	VHT1	ATP15	YKL077W	RAD18	VAM6	TOF1		FMP30	ADE17	NOP10	RPS24B	TPS1	ARN2	CTK1	MDH1	YML131W	DDC1	YLR462W		HAP2		PCL9	GRE1	TUB1	ERG13	YPL067C	TAF2	MSE1	REI1			YGR205W	SRD1	YHM2	PHO89	NSA1	RFC3	YHR112C	RPS16A	MRPL31			AFFX-r2-Bs-lys-M_at	JEN1	VPS52			YIR018C-A	NMD2		BUD25	GPI19	SGF73	BUD4	PST2
RPTR-Sc-X03453-1_at	YLR345W	ABM1	RPT2		MRPS5	CYC2		TIS11		BDS1		YJL136W-A	TFB1	GCR2	TIR4	ORC4	ERF2	ATP3	CSG2	SAP30	GSG1	IRR1		YMR166C	GCV1	RPB10		TPS2	YER076C	VIK1	COR1	SRX1	YPT11	HAL9		YMR086W		BUD9	SIP18	YOL019W	ERG12	FUR4	CIA1	MSM1	URK1			YOS9	FUS3	LEU4	YNL217W	RIO2	YHR127W	MET2	RPL13B	MRPL51			AFFX-r2-Bs-lys-5_at	CSR2	SPP382			RSB1	TAF1		VAM10	SNT2	TCO89	KIN3	FRA1
RPTR-Sc-J01636-3_at	FBP26	YAR023C	RPN11		RSM23	MDM12		PET8		YOL159C		GAT4	SIF2	CLF1	TIR2	DPM1	PET18	COX13	KRE2	SHG1	SEC5	MRC1		ESP1	HIS4	BET5		YAK1	QCR8	RTT109	RIP1	YDR132C	PBP2	SHU2		YGR237C		DSE1	HSP32	GAS3	NCP1		PPX1	MSD1	YGR093W			RIF1	FAR1	GDH1	PHO8	GCD14	ALO1	MET6	RPL42A	MRPL16			AFFX-r2-Bs-thr-5_s_at	MRK1	SQS1			YMR279C	BUG1		MUM3	YDL109C	LDB19	YMR030W-A	NAB6
RPTR-Sc-U89963-1_at	FYV10	COS111	CDC37		MRPL3	IST1		FRE3		YAL063C-A		YFL040W	COY1	LRS4	PAU8	ATG13	PCP1	ATP4	YLR241W	EMI1	VAC7	POL12		STU1	HIS2	GIM3		PNC1	YDR541C	TOS4	AIM18	YKL070W	PDS1	DSS4		VPS8		NIS1	MOH1	MSB2	ACS2		CDC123	ATP25	CSL4			OPY2	FIG2	CPA2	MDH2	CBF5	SPE1	MET16	RPL20B	MDM35				CAT8	HEH2			YHR210C	DOS2		SPR1	GEM1	ALY1	ALK1	RCK2
RPTR-Sc-AY342347_at	STF1	MSN4	PRE10		NAM9	NIT2		MMS22		YOL162W		YBL008W-A	YTA12	SNF12	SET4	BSP1	YJR154W	ATP14	TMS1	LSM8	CNA1	SMC3		BNI4	GCV2	BET3		TSL1	YHL044W	CIK1	MCR1	SFA1	LCD1	PPG1		CTI6		PSA1	ATG32	CRH1	SAH1		MSI1	CBS2	BUD20			YGL082W	FUS2	ODC2		NOP58	AFFX-Scv2-r2-P1-cre-3_s_at	MET28	RPL8A	MRP10				MBR1	APC5			IME4	SEC9		YOL024W	PET122	ARP8	CHS2	SSL1
