1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72
	YBR085C-A	PIP2	YPT52		PNT1	ARA2						AIM26	CYM1	ATG26	IRS4	YOR385W		ATP19	SCS7		PET111			TGL3		UBC4		YBR204C			YPL113C								YNL195C		YIP3		TRP2	CBP2	HCA4							RPA34	RPS26A		RPL31B	MRPL39				RGI2	EKI1				TIP20		DTR1	AFFX-YER022w5_at	CUE5	MOB2	VPS27
	ROM1	SSN2	RVS161		MBA1	BET4						ECM18	FAB1	RTT103	COS10			AAC1	YEA6		TRM12			MTC6		SEC66		GRX1			CTR3								YOR289W		COQ2		ECM33	CCM1	YIL096C							BMS1	RPL36B		RPS16B	MRPL17				FAA2	YPL216W				SNC2		SPO75	AIM3	MDR1	SPS4	SSO1
	GYP7	SPT23	PUP2		MRP20	DIG2						FYV12	MPH1	CWC27	DAN1			MGT1	AVT3		YCK3			TTI1		TMA7		PPM1			YBL059W								GPG1		SOL3		GAS1	COG7	WTM2							EBP2	RPL34B		RPS5	COA1				PDH1	PRP24				RTT106		YGR273C	TAX4	MTC5		PHO85
	YHR097C	SSD1	BSD2		CYT2	HST4						YNR062C	PSK2	SLU7	HUG1			YNG1	RKR1		SGM1			YOR296W		RUB1		YOR052C			BNA4								YBR241C		YHB1		GSP1	MSK1	YBL055C							ROK1	ALG1		RPS26B	AIM5				SIP4	SOV1				VPS24		MAM1	YHR159W	JHD1		SAC6
	SNX4	SOK1	ENT5		ISA2	LST7						YJR120W	RAD5	MGR3	YMR317W			INH1	KRE6		APC2			TPC1		RPS27A		ALD4			DAK2								YPL119C-A		CLN3		TKL1	HOS1	BUD23							TSR1	GUP1		RPS11B	MRPL25				HPA2	SNU66				UFE1		SPR3	FMT1	PKC1		LSP1
	QRI5	FUN19	SPN1		MAS1	MSO1						YHR214C-D	SEN15	REG1	YSR3			AIM31	KES1		LEU3			KRE5		SUI1		INM2			NCE103								FMP16		YLR050C		BEM2	SCO1	ELP6							UTP21	ALG11		RPL12B	PET123				SUE1	NPR2				YPL071C		YFR012W-A	WHI5	ISN1		YPR098C
	YKL162C	KNS1	MVP1		DNM1	NTG1						PGU1	SFI1	IOC3				GEP4	MCK1		RAD30			YDR249C		YBL036C		UBX5			PSP1								PAI3				KAP120	PEX13	HPT1							YDR161W	SEH1		RPL8B	YDR381C-A				DCI1	CIN8				RXT2		TEP1	YML037C	MET12		ENO1
	MPM1	GID8	RPN9		MRPL19	PSY3						YFL051C	SKM1	PIF1				BNS1	YNL190W		AVO1			YBR219C		DIB1		NTH1			YHR033W								SOL4				NUP159	RSM22	IFH1							NUG1	NPY1		RPL26A	MRPS8				YMR114C	SPC110				DID4		YGL041C-B	AFFX-YER022wM_at	VPS72		PPN1
	YKL023W	YIL077C	ARP2		MNP1	SGN1						YPR108W-A	SPR6	TFC1				FCJ1	RSP5		BEM4			YBR220C		TIM10		YPL191C			YJL133C-A								RTN2				RGR1	DLD2	SAS2							KRI1	TED1		RPL2B	YNL122C				SPG1	CTR86				MLP1		YCL001W-B	SPC24	ULS1		UTR1
	TRX3	MDM31	YSA1		MRH4	SLF1						YHR214C-E	TGL1	RAD2				HAP4	AVT4		SWT1			PEP7		EMC6		XKS1											ATG4				PPS1	CTM1	YDR179W-A							RRP15	ALG6		RPS28A	CMC2				ADY2	EST2				YPL009C		ATG23	YER184C	RTC1		SGT1
	YPR127W	YGR015C	CHS5		YML6	SYC1						YPL152W-A	RPTR-Sc-AF292559-3_s_at	YPT32				YBR230W-A	BCY1		GYL1			DNF3		BET1		YGR127W											AMS1				GRR1	RSM25	SEE1							UTP14	TVP38		RPL9B	FMC1				PCK1	RED1				POP7		THI11	PPM2	PGD1		PIL1
	RMD5	YPL236C	UBP6		AFG3	YNL193W						YOR072W-B		CNN1				COA2	URA8		SWC3			BTS1		FRA2		RCR2											GND2				CCT4	YDL119C	YGR121W-A							LIA1	CAM1		RPP2A	RSM27				CRC1	SSP2				SAS4		YAL018C	RIM13	MPE1		CMP2
	MSP1	FPK1	RPN7		OMS1	YOR111W						YIL134C-A		CUS1				POP6	PGC1		KAR9			SWD1		SEC28		GPT2											YLR312C				GUS1	COX23	TOD6							RPC40	RVS167		RPS22B	MRPL22				CTA1	SWI4				YNG2		YOR214C	ECM2	GPR1		DOA1
	FUN14	MAM3	SEC17		CYC3							SMK1		ELM1				RPM2	YPS7		SCY1			UBP8		KSH1		SDS22											YNL092W				CCT8	MZM1								NOP16	CUP5		RPS20	ACN9				YBL086C	YIL029C				VTA1		YDL114W	YAL064W-B	TRE2		COQ5
	YMR244C-A	KSP1	SGT2		MEF1							YDR124W		MDM32					SMF2		DML1			GPI10		FRQ1		CMK1											HBT1				RVB2	MDV1								HAS1	SAR1		RPL39	AIM36				RRT6	NMD4				SNF7		YDR374C	YDR169C-A	MDL2		YPR1
	YIL055C	YDR338C	TFG1		MRP4							YNL042W-B		SAP155					KRE9		CUL3			YHL017W		YPL225W		PEX30											RMR1				FUN12	MTO1								RRP14	CDC42		RPL12A	CMC1				PMA2	CTS2				GEA2		HXT14	SRB8	RTS1		DAK1
	HOP1	YMR155W	PRE9		AGC1							YOL013W-B		HOT1					GDI1		SOG2			TBF1		LSM7		OXR1											FMP46				CCT2	YDR061W								SAS10	FBA1		RPL15A	COX17				YKL050C	RKM4				KEX1		ICS3	ASF2	MEC1		SNF6
	SPO1	AKR2	HST1		IBA57							ECM12		TAF3					PEX12		FMP25			PRR1		RPC10		PMC1											NQM1				RVB1	YJR011C								NEW1	TEF1			RSM19				PEX18	TID3				COG4		YDR366C	ATG16	SKO1		NCE102
	YOR022C	GSM1	PUP1		MAM33							YAL067W-A		TFC7					IDS2		YSP1			CDC25		TYR1		PRB1											YJR096W				GRS1	ADK2								RLP7	ADH1			YIR024C				CSM4					COG3		YBR296C-A	RAD61	ATG21		HSF1
	RSF1	PIB1	RPN1		MRPL4							YGL006W-A		SAC3					YBR235W		UBP7			SYT1		SEC65		UBI4											GSY2				THS1	YKL096C-B								SDA1	ACT1			SNT309				YNL144C					SHS1		YML100W-A	RRG8	TFC3		LCB4
	PBI2	YDR387C	PBP4		PUT2							YIL046W-A		RAD26					VBA1		PUS6			EAR1		RTT102		YDR003W-A											HSP78				ILS1									GAR1	AFFX-YFL039C3_at			TOM7				CYB2					CDC16		YBR221W-A	TOP3	FIP1		RTG2
	YDR379C-A	YHR131C	CAJ1		RRF1							YJR151W-A		STN1					AFFX-YFL039CM_at		SWM1			HIP1		PGA2		YET3											YJL163C				YDR341C									NOP6	TDH3			TOM5				MTH1					MET4		AUA1	YMR084W	CDC15		MTC2
	YCL012C	YRM1	PRE3		UPS1							YKL183C-A		RNH1					ERG9		REB1			PAC1		BOS1		RRI1											ALD3				ALA1									BFR2	EFT1			AIM11				YJL045W					CDC3		HUR1	SLO1	RIB7		YNL208W
	YPI1	MSS4	PUP3		YLR049C							YLR012C		BEM1					NFS1		TRE1			ROG1		EMC4		RRI2											ESBP6				RPB2									UTP6	TIF1			MRPL32				YBR284W					POB3		YGR035W-A	NBL1	TAF8		YPK1
	AIM17	YPR022C	RPN10		YNR040W							SET6		SNF5					YKL100C		SWI3			PEX4		LSM12		ATG19											YIL024C				SEC21									NOP1	PDA1			COA4				EDS1					YHC1		YLR154W-E	YHL012W	TIM44		SNC1
	ATG17	YOL036W	YTA7		PPA2									YAF9					MAS2		ABF1			SSN3		SDC1		COQ3											HUL4				EGD1									MAK5	PDB1			PET117				MLS1					YRB30		DGR1	YHR177W	VPS34		YAL044W-A
	YPS6	KIN1	RPN13											NGL2					CHS3		VAC14			AGE1		SRB7		MED8											ATG9				ARC1									KRE33	CPR1			PET191				GAC1					NGG1		YGL138C	YPK2	PCT1		UFD2
	MDG1	PCL8	ENT3											YMR124W					FET5		TFC8			PEX32		TFB4		DDI1											OPI10				DED81									NOP53	PDI1			YMR210W				ISF1					FMP10		OSW1	BSC1	STP1		APM4
	YLR271W	YOL075C	UBP2											VPS20					SAC7		HCS1			ACF2		GRX7		YDL124W											GLG1				PSE1									UTP10	RPS23A			YLR326W				YNL194C					PLP1		YMR247W-A	BSC5	PAM1		YIM1
	PEX27	YDR306C	CDC48											PEX5					TOK1		BIT61			SWF1		PAA1		EDC2											RNY1				SEC26									TSR4	TFP3			IMP1				YPT53					AFFX-YER022w3_at		YDR246W-A	YNR068C	MAC1		BCK2
	YET2	RIM8	CAB5											SLM1					DAL7		BRL1			ICE2		UBC1		PEX17											PHM7				COP1									UTP9	IPP1			MIA40				POX1					EXO70		YLR264C-A	CTF13	SWA2		SKG1
	SOD2	SSH4	SHP1											MUS81					YGR125W		FOB1			CYK3		YKE2		IRC24											GIP2				TIF35									NIP7	CCW12			PAM16				SHC1					CRP1		YDL186W	CTF19	ITT1		SYG1
	AGP2	YMR181C	RPN3											NBP1					DUR3		NNF2			GPI2		FCY1		PKH1											SDS24				PRT1									DIP2	RPL4A			RER2				AIM33					YGR102C		CDA1	MMS21	SHE10		ORM2
	PYK2	PBN1	IES1											SRB5					DAL2		YDR109C			HKR1		MGE1		YLR290C											KIN82				GCD11									BCP1	PAB1			AFFX-TrpnX-3_at				PIR3					DCP2		YOR011W-A	YGR126W	PEX28		GPA2
	ALD2	SIZ1	MBF1											PEX3					FTH1		YGL185C			YBP1		RPC11		UGA1											SPS100				SEC7									NOC2	PGK1			YFR045W				LIF1					ESC1		SPS22	YIR014W	YPR091C		LAP2
	CIS1	YPR109W	YOR097C											CAB3					AUR1		VPS54			EBS1		RFC4		GSC2											YMR118C				HTS1									NCL1	CDC19			ATP11				YLR307C-A					SIP3		SPO20	YKR041W	YNR048W		HRK1
	GIP1	MRM2	STI1											IOC4					VNX1		EST1			NCS6		VMA8		DDR48											SSA4				NUP116									UTP15	RPL1A			CAT5				ADH2					MCM21		YCR108C	YLR173W	MRE11		IES6
	HXT6	NDI1	FES1											SIR3					AIM6		PUS9			TEL2		YCL056C		CTH1											CTT1				NST1									UTP5	PPA1			FYV4				AQY1					PRP16		MCH2	YPR153W	VPS45		ISU1
	IME2	ASI2	SIS1											CDC40					UTH1		YTA6			PFK27		DCP1		TFA2											ATG14				SIN3									NOG2	YDR524C-B			TIM8				BAG7					RAD3		YFL012W		PHO23		SIS2
	NDL1	DAL82	BDF1											FYV8					DPL1		YLR455W			FLC3		SPT4		CWC23											XYL2				PBP1									DBP3	VPH1			MIC14				CRF1					NSE1		HIM1		AEP3		NAB2
	PCD1	NFI1	RPN2											SET2					MTM1		STH1			TPO5		YOS1		ZTA1											MDJ1				ZUO1									ENP1	LAT1			MRPL15				ECM13					YOR262W		YGL081W		SEC1		PDE1
	ROX1	SPO71	YJL055W											CWC22					DAL3		PSD2			YPK9		TLG1		RTK1											YNR034W-A				MET7									SOF1	VMA2			MRPL20				JID1					YPR097W		YKR005C		STP2		ASR1
	YDR034W-B	SAL1	YGR235C											SLX1					MEP1		AFT1			RAD55		YMR074C		GPH1											HSP31				SES1									UTP18	TMA19			UPS2				FDH1					RRG9		SPS1		APP1		RIB1
	YLR211C	UBX2	SKP1											RGA2					GAP1		BUB1			YGL176C		VMA22		PHR1											YMR090W				GUK1									MRT4	RPS14A			YDR286C				RTS3					YNR029C		YMR105W-A		SLX8		ISA1
	YOR019W	HUA1	PDX3											ASA1					DAL5		PEX6			ZRG17		GLO3		YDL057W											ERR1				URA5									LSG1	SCS2							RIM4					SET3		YJL043W		PRP31		COQ1
	ADY3	YML002W	AHA1											DBF20					MEP2		HPR1			AIM14		IRC21		RRT8											FMP33				FRS1									RRP5	RPS8A							RPTR-Sc-K01486-1_s_at					TOP2		YFR012W		BPH1		CST9
	YLR346C	YDC1	SSA1											ARO80					PCM1		HRD3			YCL001W-A		MTQ2		INP54											FMP45				SSZ1									UTP7	RPS29B							YAT1					VTI1		YFL067W		RTT101		DAP1
		COX15	CPR6											RIC1					DFM1		MCM22			URH1		PLP2		TPP1											RGI1				VPS1									FCF2	SSB1							YDL218W					MRPS17		YJR079W		YDR131C		WTM1
		GEP5	YMR226C											ESC2					SLG1		YPL150W			SPC34		TSC3		SPG5											YNL134C				SEC3									RRP9	ATP1							YGR066C					CDC34		MIP6		PRP45		TCB1
		CDC13	APD1											SMC6					FLC1		MRL1			CNE1		SFT1		YGR250C											NGL3				TOM1									SNU13	HNT1							YKL187C					AHC2		DIT1		CLP1		GPD1
		ATG18	END3											EPL1					YGR026W		SNO2			MMS1		LEM3		YGL010W											UGX2				TOR2									RPB8	OST1							YFL052W					PEX19		DIT2		INP2		HEM14
		CDH1	GLC7											FYV6					ROT1		SNZ2			COX10		YOR021C		AAD10											SPI1				CCT5									RRP17	WBP1												SAM37		DMC1		GLE1		MCM1
		CAF120	URE2											PCI8					ZRT3		SPT14			POL3		LIP1		UGA3											YMR034C				RPB3									FCF1	TSA1												TEN1		RTR2		MUK1		MXR2
		TDP1	SUA7											FAR3					OSH7		ALF1			WSC3		GIS2		CIN5											YLR164W				PRS1									UTP25	DUG1												YPL107W		YLR285C-A		RPH1		TGL4
		CRT10	REH1											TAM41					PDX1		VPS75			UBP13		SEY1		YBL029C-A											BTN2				PRS3									HMT1	APE3												BDF2		HXT10		SCD5		ASK1
		PIN3	VPS29											INO4					1778857_at		LOT5			PHO90		RPB4		ICL2											TKL2				TIF34									IPI1	SBH1												BRE5		IRC19		AIR2		CAB2
		HRT3	TFA1											MED2					MPA43		ASE1			GUP2		NUP57		LYS5											TMA17				YHR020W									UTP23	RPL30												CSE2		MND1		MYO3		DIF1
		HAA1	GEP3											MSB3					VPS38		BNR1			KAP95		SRP72		OTU1											PIG2				MRS6									DPH1	PFK1												CSE4		SPS18		VPS13		ETR1
		YOR228C	OCA1											SPT3					IPT1		BUR2			YEL025C		NUP82		PNS1											GSY1				KEM1									ALB1	OST3												KAR1		YFR032C-B		YPR084W		LSC2
		YJL206C	RFS1											PIB2					TPO2		CWC21			MNT4		LSM3		SYM1											YPL278C				THO2									ARX1	TFP1												MEF2		YBL101W-C		AST2		FMP27
		VHS2	HRR25											SEC2					ALE1		PRP9			SHU1		SPT15		YBL039W-A											URA10				MED4									IMP4	HOR7												MUM2		YGL230C		YKR096W		GIS3
		PAH1	TFG2											YEL1					HMG2		DIN7			VID22		SPC19		YDR391C											LEE1				YPT10									YDL063C	PMP3												RIO1		YJL160C		TRS23		HEM15
		KHA1	CNB1											RAD50					SMF3		GCN5			YSP3		AIM7		FMP23											XBP1				TMA64									BUD21	YPT7												RPTR-Sc-M62653-1_at		YLR154C-H		PEX14		MDY2
		SSY1	YBR137W											XRS2					MSS51		JEM1			BOR1		ALG5		LAP4											YMR085W				YCK1									NOP2	PFK2												SET5		YMR244W		YBR062C		ICT1
		APN2	YBR016W											ARG81					CHK1		KSS1			MDJ2		DTD1		TPO4											YGR053C				CCT7									TRM8	RPP2B												SNF11		YER085C		TEL1		ISR1
		YDR282C	YOR131C											ART10					PMR1		MUB1			SLD5		APS2													YMR175W-A				TYS1									SPB4	RPL14A												TPK3		BNA2		AVO2		IXR1
		PEX15	YUH1											IES2					YPR011C		NDT80			ZDS2		CCZ1													YOR186W				BEM3									RSA4	CMD1												VPS71		ZIP1		BRO1		MCT1
		ART5	VPS25											TAF7					GAT1		NPP1			CIN1		SEC72													TMA10				SSK2									ELP3	CKB1												YIL161W		YFR035C		STE13		NUR1
		INP52	YGR111W											RLF2					SFP1		SAK1			CLB5		IKI1													SDP1				PRP6									NOC4	SRP54												YKL018C-A		SSP1		WAR1		OPI1
		ATG1	SUM1											PSH1					MID2		SIP1			GEF1		ELF1													YSW1				NSP1									NOP7	VMA4												YKL063C		YER128W		PTC4		PAN3
		MET30	GTR1											NBA1					KRE1		YAR029W			YOL057W		RNA1													EMP46				EGD2									LTV1	VOA1												RHO5		YAL037W		INN1		PHD1
		CRD1	LIP5											TLG2					HEM1		YOR093C			YLR426W		RDS3													HXT5				NUP170									MPP6	PET9												RPTR-Sc-AF292560-1_s_at		YMR018W		EAF1		PLB3
		STB1	WHI2											MAD3					KRE11		PDR8			GAS2		TPT1													GPM2				MKT1									PRP43	POR1												RPTR-Sc-M62653-1_s_at		UBC11		DEP1		SOM1
		YER158C	YPR148C											PAC2					SLT2		VPS62			FZF1		PET54													YJL144W				SHR3									UTP13	ERV25												SMC4		YBR072C-A		ARP7		YMR315W
		COX20	YNL181W											RIM21					PTP2					SLD3		NAT3													PDR15				RPG1									RRP1	VMA9												YLR057W		YDR524W-A		DIG1		YNL086W
		YMR262W	ADD66											ISC10					VAC8					SAD1		RAD33													YHR140W				RSC1									RPA43	RPL33A														YOL131W		TAF5		ASI3
		YMR087W	UMP1											ISY1					LDB16					GPI18		YRB2													YOR152C				PUF4									RRP12	RPL28														YLR406C-A		MED7		MSN5
		CRS5	CAP1											ITC1					SPO7					YCR100C		FAP7													YGR174W-A				LSM1									RNT1	RPS3														YLR030W		SIR1		NRG2
		RAD28	SBA1											JHD2					RDR1					PGA1		GPI15													ALP1				STM1									LHP1	RPS12														YLR031W		REV3		VPS36
		DON1	NPL4											PUS5					SKY1					YOR390W		RBL2													BDH2				CDC60									RRT14	HSP60														ANS1		YPL039W		
		THP1	YMR178W											YMR158C-A					TPN1					SCC2		MTR2													BOP2				RMD8									UTP11	PDC1														VPS35		YDR186C		
		SSN8	UBX4											YGR042W					SYP1					YOL107W		SPC2													CUR1				SXM1									RSA3	PGI1														AZR1		MTG2		
		PTR3	DAM1											YHR080C					TIM18					YPL038W-A		SPC3													DDI2				SLA1									DBP6	YEF3														SPS19		CFT2		
		UBS1	HOS3											OCA4					NPR1					YAR066W		LSM4													FMP48				MES1									DBP9	EMC1														CDA2		OXA1		
		SHE4	SPT20											MND2					AFFX-YFL039C5_at					YAR068W		SEM1													GLO4				YHR003C									NOP9	ALG8														YER078W-A		YBR063C		
		FMO1	FIS1											AVL9					AIM25					YPR013C		YPL199C													HSP26				MED11									YNL313C	PRS5														RIF2		NUP42		
		LEU5	MTC1											POP4					YPR147C					YHL026C		TPM1													HSP30				TRP3									EMG1	RPS31														SEO1		PKH2		
		PEX10	HUL5											PSY4					ATP22					YOR012W		SRP21													YLR297W				BCH1									RBG1	SBP1														YPL264C		GCS1		
		RRD2	UFD1											YJL049W					SLY41					YIL166C		APN1													YER079W				BCK1									TRM5	ATG27														SPO11		RBS1		
		CLD1	UME6											POL4					YOL073C					AFI1		UBC6													INO1				DNF1									VTS1	SPF1														SPO74		MLH3		
		ALR2	AHP1											HSK3					ITR1					ARP10		GRX3													PHM8				UBA2									URA7	SSH1														SRL4		COQ8		
		ALY2	SKT5											JAC1					SAM2					YJR098C		CDC33													SSA3				UFD4									KAP123	SEC13														SRT1		YOR223W		
		OPY1	RPN4											HSM3					IZH1					YHR035W		ARO7													TSA2				CCT3									YNL050C	PMT2														YAL037C-A		CEF1		
		RMD1	CCL1											IRC4					OLE1					ARV1		FOL2													YBR285W				CAF20									RPF1	ARF2														YAR035C-A		HOS4		
		CUP2	SUB1											RSA1					IZH2					RRN7		APS3													YEF1				PRP22									UTP20	RER1														YBL044W		MMS4		
		DGR2	YNL011C											UPF3					CHC1					CAX4		BFR1													YNL277W-A				YML081W									RPC19	DPS1														YER175W-A		SEN2		
		YGR149W	DDP1											YLR125W					RTC5					RCE1		MGM101													YLR446W				SUP35									TSR2	RPL37B														YFR057W		CRM1		
		NSG2	DER1											PRP5					XPT1					COS5		ISD11																	SUP45									RPA49	ARC40														YIL089W		MED6		
		MCH1	THO1											SPC72					COX18					ECM25		SME1																	ABD1									DBP8	CPR3														YKR015C		PFK26		
		AVT2	YJR142W											TOF2					GID7					EXO1		HNT2																	CHL1									YCR016W	AIM27														YLR154W-F		SWM2		
		PIH1	EAF7											YAP3					LAC1					FRE4		NAT5																	TRP5									SPB1	YMR099C														YLR412C-A		SRO7		
		SEC20	FAR8											SLX4					PDR17					FUI1		SNX3																	VAS1									CMS1	PMT1														YOL114C		SNU114		
		MDS3	GOS1											YCR099C					YJR107W					HDA1		IRC25																	SEC27									DEG1	ARC19														YOR381W-A		RIM20		
		ATF1	GRX6											ABZ2					FLO10					MCH5		YCR090C																	HSH155									DIM1	CCT6														YPR159C-A		JSN1		
		YGR031W	MIP1											BUD13					YKR104W					QRI7		YPD1																	UBP12									URB2	MUQ1														THI4		YME1		
		PPE1	RSC2											CUE3					NFT1					MGS1		HPM1																	CHD1									YLR363W-A	SVP26														YDR034C-A		YMR258C		
		YJR039W	MDM38											CWC2					FMP52					MNS1		SUS1																	SAP190									RRP8	YIF1														YEL075C		YIL092W		
		SKN1	SSP120											FIN1					FPR1					MOT1		IDI1																	SKI2									TRM10	STT3														YIL060W		ZDS1		
		HER1	YLR224W											FRT1					YCL002C					MSA1		NCB2																	CDC24									TMA16	EMP24														YJR005C-A		NIP100		
		RGC1	UBP3											VPS28					HXT1					NAT4		MSS116																	GAL11									MRD1	ERP1																NUS1		
		GTR2	RIB5											HUA2					ARI1					PTC1		YLR065C																	YSH1									GUA1	TSC13																PKP2		
		TDH1	YTH1											MNN4					PIS1					RGM1		YDR056C																	ILV1									TRM44	SHM1																PRP46		
		RCN1	ADA2											YPR117W					CHS6					SFK1		YGR001C																	DPB11									IMP3	LAS21																RAD16		
		RCR1	ALG13											MSH5					PIN2					YGK3		SCP1																	YNR021W									RLI1	OST2																VID24		
		PTC6	BMH2											MSL1					SAT4					YGR122W		YPT6																	TMA22									RIX7	ECM15																RIM15		
		SNU71	CDC31											PPH3					PLB1					YHL015W-A		TYW3																	GCD7									MIS1	PER1																RRN10		
		RAD57	CLC1											RFX1					POM33					YJL213W		TTI2																	SUI2									YER156C	KTR7																VPS15		
		YAP1802	COQ6											SCM3					PST1					YLL007C		AFFX-YER148w3_at																	PBS2									RTT10	RPL25																YEN1		
		YPL162C	DIC1											SPO22					YDR319C					YOR378W		ATX1																	RGD1									UTP8	VMA13																AAD14		
		PIC2	ECM38											SRC1					SSY5					PDR3		CHZ1																	ADO1									RIX1	YOP1																RTT105		
		NAM8	GPB1											STB6					STP4					YLL054C		CPR7																	ADK1									RPC34	RPL17B																AFT2		
		YPL229W	HFA1											YDL176W					YPR157W							VPS9																	TIF4631									RPP1	RPS18B																TRK2		
		ATH1	LDB7											ULI1					YER130C							DPB3																	BAT1									TRM9	RPL6B																SLM2		
		YDL233W	LOT6											YCR101C					ZRT2							AGE2																	ILV3									TPA1	RPS8B																INP1		
		RRN5	MAD2											YER137C					APC4							VMA6																	ILV2									YBL081W	EXO5																RAS2		
		AME1	OSH6											YGL188C-A					IZH3							MPD2																	ILV5									DBP7	VMA5																RSC6		
		UBA3	PBA1											YKL061W					AIM9							PTC7																	TFC4									LCP5	RPP1A																DOG1		
		PEF1	RAD23											YNL211C					AMD2							GET3																	ARP9									RRS1	HOM6																KOG1		
		ULA1	RHO4											MIF2					BNA5							URM1																	NPL6									APT1	ADH3																ECM5		
		ECM22	RPL15B											PEX22					TNA1							GIM5																	SYH1									YGR251W	RPS30A																VAM7		
		DBP1	SAP4																COT1							GON7																	NUP1									NOP56	EFB1																NSL1		
		YOR292C	SOR1																FKS1							MEH1																	HIR3									CDC14	AVT1																PSR1		
		AUS1	TAF13																YBR013C							HAT1																	KIN2									CNS1	NAT2																GTB1		
		HAL1	TYE7																UGA4							HRT1																	SLY1									TCA17	RET2																RPN14		
		MPS3	UBP11																PUT1							YRA1																	YMR130W									YML096W	CAD1																SAP1		
		GPB2	UFO1																DSD1							IES3																	MNN10									PUS4	SEC14																KRE29		
		ROG3	YLR108C																FLO1							IMP2																	SEC6									NCS2	RPS21B																MCM10		
		SHY1	YOL029C																GDH2							YKL069W																	YDJ1									DRS1	RPS10A																MPS2		
		TOS8	ZIM17																PCL7							PCC1																	TCP1									TRM1	RPS10B																PTK2		
		USA1	ERV2																GPI12							YDL157C																	TRK1									ECM1	YOL098C																POG1		
		HST2	RNH202																IRC7							TIF6																	SRP101									ECM16	SEC18																SEC39		
		MTQ1	RPTR-Sc-AF298789-1_s_at																SUR2							YIL002W-A																	KIN4									MTR4	STT4																YLR072W		
		SFL1	YAR075W																YPR071W							YGR207C																	TRM3									RPC17	SSC1																YEL023C		
		CMK2	YPL034W																FAA4							YDR210W																	TRM7									KEL3	EMP70																SPT7		
		DIA1																	MGA2							AFFX-YER148w5_at																	SCP160									KRR1	GDT1																SPT8		
		YBR056W-A																	RBK1							APS1																	SQT1									LOC1	PMT4																YHL009W-A		
		MKK1																	MOG1							CDC8																	TAF14									LRP1	ALG9																YHL009W-B		
		SNF8																	OPI3							YAE1																	RRP45									PAC10	QNS1																YJR061W		
		YOR352W																	PCS60							DAD1																	IKI3									RPC25	RPS0B																YMR102C		
		APA2																	PEX11							DET1																	RGA1									YDL121C	TFB5																YOR1		
		GLN3																	VAN1							DST1																	NIC96									UTP30	AVT5																YOR389W		
		PET494																	STB5							NUP53																	NUP2									UTP4	GPI14																ARK1		
		MMT2																	RHB1							ERJ5																	IRA1									YBR238C	YDR307W																KIP3		
		RRT13																	YDR090C							EST3																	TAO3									DBP2	PFA3																BTT1		
		YDL183C																	YKE4							GNA1																	YLR422W									SPE4	DGK1																CEM1		
		YCR007C																	YCL049C							HAP3																	APC11									RPS7B	HYP2																DAL81		
		YLR352W																	YHC3							YDR444W																	THR4									ESF2	VRG4																DOG2		
		LST8																	YNL024C							HUB1																	ASN2									NOP8	GAB1																YER071C		
		NAB3																	TAD2							IES5																	SRP68									DAS2	PFA4																ECM31		
		SEF1																	AGP1							KTI12																	ARB1									DUS4	ORM1																FLO8		
		MSS11																	MEP3							LDB18																	GGC1									PWP2	ERV14																GTO1		
		PHO4																	ALT2							YSY6																	YMC1									ESF1	HHF1																IRC23		
		PET20																	BDH1							MAK10																	SMD3									TMA46	HTA1																KEL2		
		RDS2																	CBF1							MAK31																	HIS1									FAF1	HHT2																MEI4		
		YJL132W																	CLG1							MCM16																	RRT2									FAL1	HTB1																MNE1		
		ULP2																	COS12							PAM18																	MCM2									FPR4	NTF2																MPD1		
		YGR016W																	YGL262W							PDR16																	MCM4									GRC3	SYS1																NDJ1		
		YJL016W																	YGR117C							POA1																	YCK2									IMD2	SBH2																YBL005W-A		
		YLR194C																	YLR283W							POP8																	BOI2									IMD3	RPS27B																XDJ1		
		YMR291W																	DAL80							PRP42																	BRR1									IMD1	AAT2																QDR3		
		YPL247C																	YLR053C							PSF1																	BUD14									YNL162W-A	HOG1																RAD54		
		PDR10																	EUG1							PSF3																	ELG1									RNH201	TAL1																RTC2		
		UBP9																	GET4							RPL41A																	MRS2									NOP13	KAR2																SPO21		
		AZF1																	HAC1							SHE2																	HFI1									NOP14	GPI17																SWC5		
		AIM32																	SCS3							SMI1																	EAP1									NRP1	MID1																SWH1		
		PET10																	HXT4							SRB6																	SEC16									NSA2	GPI1																SWR1		
		UBX6																	YJL171C							SRP102																	HIR2									OTU2	ARP3																TAH11		
		ARP6																	IZH4							SVF1																	NOT5									RPA12	YOL092W																TBS1		
		RAM1																	KTR2							TAH1																	TAF6									YVH1	DYS1																YAL064C-A		
		PUS2																	YLR152C							TAH18																	TIM54									RMT2	WRS1																YHR212W-A		
		ERC1																	TIM9							TAN1																	APL4									PUS7	NSG1																YHR213W		
		REC107																	MPT5							THP2																	PRS4									YOR342C	GRX5																YAP6		
		PTP1																	NAR1							TIM12																	NUP145									TUB4	SRP1																CUE2		
		ATE1																	SCC4							TRI1																	GCD1									YGR283C	PFY1																YFR016C		
		ATG2																	NGR1							VPH2																	MNT3									RPC31	CSE1																YKL027W		
		ATG22																	NRT1							YCR015C																	KCS1									TRZ1	ELP4																YLR143W		
